"","subjid_list","experiment","analysis","xint","xint_p","slope","slope_p","lr_p","n_total","n_inf"
"1","2152","bi_ppc_infusion","ev",-0.468293412126428,8.20474147679388e-11,0.058221598833485,3.32983866413914e-63,0.00578188263471132,1593,201
"2","2153","bi_ppc_infusion","ev",-0.108625865237432,0.119603339724856,0.0479848180217333,1.69604668392526e-69,0.000452918507480923,1904,298
"3","2154","bi_ppc_infusion","ev",-1.84258909432021,1.51491708631114e-67,0.030980523025918,1.95832019588922e-62,0.724682501817293,1261,128
"4","2156","bi_ppc_infusion","ev",-1.16410876549068,9.09784839488972e-51,0.0251898526848256,2.91548820521084e-67,0.0105346663152786,1518,204
"5","2160","bi_ppc_infusion","ev",-0.510947535707237,7.45400264187189e-08,0.0571607968694359,1.89656723246655e-36,0.0694234343338404,898,118
"6","2165","bi_ppc_infusion","ev",-2.1974102667931,2.90335534415195e-25,0.0422682368672106,3.42106961690334e-22,0.777519783935873,474,54
"7","2166","bi_ppc_infusion","ev",-1.44603957288682,2.0038506176258e-17,0.0400407465957544,2.10765928240957e-24,0.266637310207909,491,25
"8","2152","bi_fof_infusion","ev",-0.471538861755394,2.52815908279692e-11,0.0578781006838822,1.04916152953316e-67,2.04617146244215e-06,1534,142
"9","2153","bi_fof_infusion","ev",-0.0702054375766128,0.304799324816117,0.0479898665748728,2.68167367037077e-74,5.5040799278785e-08,1762,156
"10","2154","bi_fof_infusion","ev",-1.83448114091315,2.41702240355919e-70,0.0304733908412366,1.18813536312463e-65,0.0371095240267613,1284,151
"11","2155","bi_fof_infusion","ev",-2.21478463841778,1.1393253003225e-93,0.0261337693930294,7.42993468236036e-79,0.0753881391712179,1553,232
"12","2156","bi_fof_infusion","ev",-1.16216344026579,1.04457999862851e-50,0.0253601232473186,9.17905203736738e-70,0.0147318984230851,1397,83
"13","2160","bi_fof_infusion","ev",-0.510947535707237,7.45400264187186e-08,0.0571607968694359,1.89656723246736e-36,1.72921842536109e-09,851,71
"14","2165","bi_fof_infusion","ev",-2.19741026679353,2.9034890928528e-25,0.0422682368672218,3.42124394559485e-22,2.17505783232222e-08,456,36
"15","2166","bi_fof_infusion","ev",-1.44603957288682,2.00385061762571e-17,0.0400407465957544,2.10765928240968e-24,4.51159958592362e-14,507,41
"16","2176","bi_fof_opto","ev",1.288067048707,4.08785140664651e-07,0.105206036699688,2.10590539884972e-22,0.132827900248089,790,289
"17","2182","bi_fof_opto","ev",0.0890594368240867,0.537543188854033,0.0300980730032485,4.25226904923565e-11,0.376740331950275,456,158
"18","2225","bi_fof_opto","ev",0.804704776123878,0.0451031971006094,0.0777872514266801,1.10066323725811e-05,0.00041653516622604,186,71
"19","2228","bi_fof_opto","ev",-0.247817361969821,0.0221130527732264,0.0508693482485043,3.56855623557303e-35,0.000128985026342087,1215,416
"20","2240","bi_fof_opto","ev",0.541882734485379,0.00722986788986782,0.0592503446503858,3.05354713723676e-13,0.00765999702364593,459,168
"21","2152","uni_ppc_infusion","ev",-0.468293412126428,8.20474147679359e-11,0.058221598833485,3.32983866413874e-63,0.00374581306272517,1829,437
"22","2153","uni_ppc_infusion","ev",-0.108625865237432,0.119603339724856,0.0479848180217334,1.69604668392526e-69,0.564710194342268,2036,430
"23","2154","uni_ppc_infusion","ev",-1.84258909432021,1.51491708631114e-67,0.030980523025918,1.95832019588957e-62,0.242751154736673,1425,292
"24","2155","uni_ppc_infusion","ev",-2.22434523311541,2.44432735212161e-92,0.0258790156977124,6.89183109724953e-77,0.462773162724965,1690,369
"25","2156","uni_ppc_infusion","ev",-1.16410876549068,9.09784839489069e-51,0.0251898526848255,2.91548820521192e-67,0.00088183412269341,1679,365
"26","2160","uni_ppc_infusion","ev",-0.510947535707237,7.45400264187189e-08,0.057160796869436,1.89656723246651e-36,0.195835488638905,1080,300
"27","2165","uni_ppc_infusion","ev",-2.1974102667931,2.90335534415184e-25,0.0422682368672106,3.42106961690322e-22,0.0207612852122587,566,146
"28","2166","uni_ppc_infusion","ev",-1.44603957288682,2.00385061762571e-17,0.0400407465957544,2.10765928240957e-24,0.590489283351559,562,96
"29","2152","uni_fof_infusion","ev",-0.468293412126428,8.20474147679412e-11,0.058221598833485,3.32983866413914e-63,0.251423101618532,1665,273
"30","2153","uni_fof_infusion","ev",-0.108625865237432,0.119603339724855,0.0479848180217334,1.69604668392515e-69,3.66023295332087e-10,2119,513
"31","2154","uni_fof_infusion","ev",-1.84258909432021,1.51491708631124e-67,0.030980523025918,1.95832019588968e-62,0.0020760946547372,1391,258
"32","2155","uni_fof_infusion","ev",-2.22434523311541,2.44432735212197e-92,0.0258790156977124,6.89183109725272e-77,3.86750006819175e-06,1665,344
"33","2156","uni_fof_infusion","ev",-1.16410876549068,9.09784839488923e-51,0.0251898526848256,2.91548820521048e-67,0.0363387403393421,1689,375
"34","2160","uni_fof_infusion","ev",-0.510947535707237,7.45400264187174e-08,0.0571607968694358,1.8965672324671e-36,0.0669803808465379,1055,275
"35","2165","uni_fof_infusion","ev",-2.1974102667931,2.90335534415184e-25,0.0422682368672106,3.42106961690328e-22,0.0233795063097482,613,193
"36","2166","uni_fof_infusion","ev",-1.44603957288682,2.00385061762577e-17,0.0400407465957544,2.10765928240964e-24,2.5578437115752e-07,610,144
"37","2172","uni_fof_opto","ev",-0.298397567344349,0.000309151194417371,0.0415744938610325,8.50293831034568e-36,0.543203506165706,1400,490
"38","2176","uni_fof_opto","ev",0.738067843717592,5.11983729379832e-08,0.0852613781600936,8.42349529713237e-46,0.000708269441971453,1590,559
"39","2177","uni_fof_opto","ev",-0.158805526304069,0.0833482299727356,0.0251137947902131,1.01146548298218e-29,0.809833219475116,1170,414
"40","2180","uni_fof_opto","ev",-0.507172063679013,0.00183785964609258,0.0388757207059535,4.08276055406069e-14,0.0047372502079993,451,166
"41","2182","uni_fof_opto","ev",-0.0678109867954526,0.390242467920169,0.0252219905877293,7.23466584440595e-33,0.698127771811613,1459,526
"42","2225","uni_fof_opto","ev",-0.440064317494614,1.29495760024953e-08,0.0564636634994329,1.61898804703962e-75,0.00568254955551434,2674,953
"43","2228","uni_fof_opto","ev",-0.630251210814764,7.24416348384818e-16,0.0571948712239577,1.13540381012635e-79,2.06801836967941e-15,2775,988
"44","2240","uni_fof_opto","ev",0.297759689801283,0.000875104092304507,0.0453006394763674,2.05248233969453e-42,0.0101902630599814,1774,645
