"","subjid_list","experiment","analysis","p_value_left","p_value_left_interaction","p_value_right","p_value_right_interaction","p_value_lrtest","n_total","n_inf"
"1","2152","uni_ppc_infusion","side",0.0142328510632965,0.898455797113532,0.0906456748052285,0.0442226922043933,0.0107452018765657,1829,437
"2","2153","uni_ppc_infusion","side",0.00295067380564181,0.156631495636988,0.678310984390376,0.179621666554633,0.00251201452729395,2036,430
"3","2154","uni_ppc_infusion","side",0.132113895942512,0.432870918128856,0.854194886170777,0.288644698337561,0.228618198088509,1425,292
"4","2155","uni_ppc_infusion","side",0.0288845937004971,0.735485520663017,0.00825110582113757,0.589382621536223,4.70117390034071e-07,1690,369
"5","2156","uni_ppc_infusion","side",0.0840017227077,0.0109746802150484,0.0693371638428389,0.522534619016475,0.000435040512084744,1679,365
"6","2160","uni_ppc_infusion","side",0.369824569047039,0.182427931843239,0.210496825956031,0.728827120612302,0.401059771344093,1080,300
"7","2165","uni_ppc_infusion","side",0.677096420992356,0.0301345315147945,0.229287666481793,0.734114329552933,0.0273202488430041,566,146
"8","2166","uni_ppc_infusion","side",0.986307393650449,0.986451517280923,0.368821518156072,0.698660627783237,0.355590420779565,562,96
"9","2152","uni_fof_infusion","side",0.0378710108025411,0.227308421772616,6.77897695408305e-05,0.291088382939566,2.40344517102854e-06,1665,273
"10","2153","uni_fof_infusion","side",0.00655634598860716,0.307358786763391,0.00182212113080424,4.329370449085e-12,3.27814505021429e-13,2119,513
"11","2154","uni_fof_infusion","side",0.000461484465290648,0.00364302121716939,0.0626542794084214,0.107827521925904,0.00480205871445573,1391,258
"12","2155","uni_fof_infusion","side",0.0476253420496584,0.120926643149402,0.763442422302158,0.0375218873593407,1.93157242557453e-07,1665,344
"13","2156","uni_fof_infusion","side",0.164035089428702,0.174023772152323,0.290757833511676,0.409969631658283,0.0599073462269235,1689,375
"14","2160","uni_fof_infusion","side",0.295171259837464,0.00428241234406172,0.00504037233414249,0.906687881721639,0.00158037009240091,1055,275
"15","2165","uni_fof_infusion","side",0.839405870650528,0.0149466819990733,0.150782168529141,0.0598481193381868,0.0230659525660996,613,193
"16","2166","uni_fof_infusion","side",0.0458987403353086,8.6096978542982e-05,0.33779042311147,0.78953036489174,4.07280586729004e-08,610,144
"17","2176","uni_fof_opto","side",0.000586290700186075,0.000463974310049102,0.418262954354153,0.00838672875870677,0.00054830999528421,1590,559
"18","2177","uni_fof_opto","side",0.509631540906279,0.0815109989609157,0.803578721304501,0.0289785230939164,0.0339292545157932,1170,414
"19","2180","uni_fof_opto","side",0.16066188109127,0.0762995941628898,0.481136479939037,0.0264349393232149,0.0194644251891127,451,166
"20","2182","uni_fof_opto","side",0.0581635062749535,0.778594486933006,0.463772364009069,0.453618348086176,0.237591190257132,1459,526
"21","2225","uni_fof_opto","side",0.186306675603481,0.775318392832464,0.0113675996202526,0.000153412743567386,0.000181948019079189,2674,953
"22","2228","uni_fof_opto","side",0.00568695154353783,7.14236409185449e-05,4.73859384519098e-07,4.69024910461851e-08,2.03938014719602e-16,2775,988
"23","2240","uni_fof_opto","side",0.228585021309297,0.996587094024073,0.000840698430272909,0.0870915453256478,0.0128497662103913,1774,645
